update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
226,1851392,7745,43,2609.5,2543.0,3.2,8.1,2.0,0.75,0.7143,0.7692,0.0,0.75,,173.4,3.74,8.55,0.9497,12.03,0.3818,2.59,0.0096,0.0875,0.7602,-0.0086,0.0433,-0.8421,45,random,,,,,,
227,1859584,7786,41,2621.1,2421.3,3.4,8.0,2.18,0.8571,0.5714,1.0,0.0,0.8571,,219.8,4.73,10.24,0.9385,11.84,0.3797,2.56,0.0113,0.0939,0.7485,-0.0071,0.0407,-0.8552,45,random,,,,,,
228,1867776,7820,34,2632.8,2323.6,3.5,8.1,2.31,0.8125,0.8182,0.8,0.0,0.8125,,226.0,4.79,12.06,0.9525,11.79,0.386,2.59,0.0096,0.0745,0.7649,-0.0088,0.0339,-0.8542,45,random,,,,,,
229,1875968,7846,26,2644.3,2527.7,3.2,8.1,2.06,0.6923,0.5,0.8571,0.0,0.6923,,296.6,5.77,11.69,0.9775,12.33,0.3891,2.66,0.0086,0.0827,0.8529,-0.009,0.0244,-0.89,45,random,,,,,,
230,1884160,7884,38,2656.1,2378.7,3.4,8.3,2.23,0.85,0.7143,0.9231,0.0,0.85,,235.7,5.21,5.3,0.9517,12.31,0.3791,2.59,0.0112,0.0887,0.7741,-0.0076,0.0334,-0.8709,45,random,,,,,,
231,1892352,7915,31,2668.1,2262.1,3.6,8.2,2.41,0.7778,0.6667,1.0,0.0,0.7778,,244.7,5.52,6.78,0.9894,13.39,0.3814,2.69,0.0084,0.0791,0.8016,-0.0087,0.031,-0.8678,46,random,,,,,,
232,1900544,7954,39,2680.1,2266.2,3.6,8.1,2.4,0.7143,0.5455,0.9,0.0,0.7143,,237.4,4.92,4.43,0.9462,12.52,0.3745,2.58,0.0107,0.0963,0.7938,-0.0093,0.0386,-0.8955,46,random,,,,,,
233,1908736,7995,41,2692.0,2261.4,3.6,8.2,2.4,0.9167,0.8,1.0,0.0,0.9167,,210.4,4.9,7.75,0.9701,12.27,0.3869,2.64,0.0104,0.0782,0.7689,-0.0087,0.0343,-0.8959,46,random,,,,,,
234,1916928,8037,42,2703.8,2399.9,3.4,9.3,2.19,0.8889,0.8889,0.8889,0.0,0.8889,,230.4,5.05,6.61,0.9501,12.72,0.3736,2.59,0.0124,0.0981,0.7091,-0.0087,0.041,-0.901,46,random,1016,200,0.6125,0.58,0.645,1.4
235,1925120,8068,31,2718.0,2419.2,3.4,8.2,2.17,0.7333,0.5714,0.875,0.0,0.7333,,170.8,4.13,6.8,0.9555,12.59,0.3773,2.6,0.0113,0.0995,0.7003,-0.009,0.0391,-0.8528,46,random,,,,,,
