update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
673,5531072,17607,21,432.9,3260.2,2.5,3.9,1.63,0.7778,0.6,1.0,0.0,0.7778,,349.4,5.57,0.5808,16.15,0.2088,1.79,0.0082,0.0673,0.9154,-0.0063,0.0186,-0.5202,134,random
674,5539264,17630,23,439.4,3131.9,2.6,3.8,1.71,0.5,0.5714,0.4,0.0,0.5,,336.3,6.35,0.5763,15.9,0.2083,1.78,0.0089,0.0707,0.8517,-0.0069,0.0238,-0.5083,134,random
675,5547456,17653,23,445.9,3191.2,2.6,4.0,1.68,0.6,0.5714,0.6667,0.0,0.6,,329.7,5.57,0.5647,16.05,0.2035,1.76,0.0089,0.07,0.8196,-0.0043,0.0266,-0.5028,134,random
676,5555648,17674,21,452.5,3272.9,2.5,3.9,1.61,0.6923,0.5,0.8571,0.0,0.6923,,298.1,5.86,0.575,16.38,0.2057,1.78,0.0082,0.0599,0.8065,-0.0073,0.0259,-0.5092,135,random
677,5563840,17701,27,459.1,3122.5,2.6,3.8,1.71,0.75,0.3333,1.0,0.0,0.75,,465.3,7.07,0.5703,16.53,0.2033,1.77,0.0068,0.0645,0.8425,-0.0056,0.022,-0.5127,135,random
678,5572032,17723,22,465.5,3234.0,2.5,3.9,1.66,0.7333,0.625,0.8571,0.0,0.7333,,322.8,6.32,0.5766,16.49,0.2057,1.78,0.0073,0.0638,0.9115,-0.0073,0.0142,-0.517,135,random
679,5580224,17749,26,472.0,3131.8,2.6,4.0,1.73,0.7692,0.8,0.75,0.0,0.7692,,348.5,6.38,0.5475,16.37,0.1958,1.73,0.0083,0.0618,0.8136,-0.0051,0.0262,-0.4895,135,random
680,5588416,17770,21,478.6,3217.4,2.5,3.8,1.64,0.8182,0.6667,1.0,0.0,0.8182,,290.5,5.48,0.6044,17.07,0.213,1.83,0.007,0.0572,0.8943,-0.0082,0.0163,-0.5253,135,random
681,5596608,17792,22,485.0,3326.6,2.5,3.9,1.58,1.0,1.0,1.0,0.0,1.0,,334.5,6.32,0.5924,16.95,0.2093,1.81,0.0081,0.0541,0.8512,-0.0053,0.022,-0.5226,136,random
682,5604800,17804,12,491.5,3266.6,2.5,3.9,1.63,0.75,0.6667,1.0,0.0,0.75,,511.6,7.67,0.6074,17.24,0.2133,1.84,0.0075,0.0635,0.9127,-0.0072,0.0155,-0.5325,136,random
683,5612992,17830,26,498.0,3230.6,2.5,3.9,1.63,0.6429,0.6667,0.6,0.0,0.6429,,369.9,6.85,0.5733,16.7,0.2036,1.77,0.0071,0.0685,0.8988,-0.0068,0.0172,-0.5326,136,random
684,5621184,17850,20,504.5,3308.3,2.5,4.0,1.59,0.8889,1.0,0.8,0.0,0.8889,,474.4,7.65,0.5392,16.37,0.1929,1.71,0.0075,0.063,0.8702,-0.0069,0.019,-0.5043,136,random
685,5629376,17875,25,511.1,3288.2,2.5,3.9,1.61,0.5833,0.6667,0.3333,0.0,0.5833,,348.4,6.24,0.5291,16.74,0.1878,1.7,0.0073,0.0609,0.8424,-0.006,0.0223,-0.4888,136,random
686,5637568,17902,27,517.6,3228.2,2.5,3.9,1.65,0.5,0.5,0.5,0.0,0.5,,387.3,6.81,0.5586,16.81,0.198,1.75,0.0118,0.0692,0.7865,-0.006,0.0291,-0.5043,137,random
687,5645760,17918,16,523.9,3490.8,2.3,4.0,1.47,0.4444,0.0,0.6667,0.0,0.4444,,319.6,5.88,0.5305,16.54,0.1891,1.7,0.008,0.0748,0.8342,-0.005,0.0185,-0.4747,137,random
688,5653952,17944,26,530.6,3140.0,2.6,3.9,1.73,0.5,0.4,0.6,0.0,0.5,,339.2,5.65,0.5552,15.89,0.2007,1.74,0.0091,0.078,0.8232,-0.0072,0.0241,-0.5134,137,random
689,5662144,17968,24,537.3,2991.5,2.7,3.9,1.86,0.9231,1.0,0.8333,0.0,0.9231,,371.0,6.54,0.5551,16.59,0.1976,1.74,0.0068,0.0607,0.8792,-0.006,0.0184,-0.5082,137,random
690,5670336,17996,28,543.8,3199.3,2.6,3.9,1.67,0.8462,0.6,1.0,0.0,0.8462,,364.4,6.29,0.5623,16.92,0.1988,1.75,0.0078,0.0583,0.8741,-0.0052,0.018,-0.5077,137,random
691,5678528,18017,21,550.3,3315.3,2.5,4.0,1.59,0.9231,0.875,1.0,0.0,0.9231,,266.8,5.67,0.5801,17.23,0.2038,1.79,0.0097,0.0651,0.8933,-0.0041,0.0158,-0.5155,138,random
692,5686720,18044,27,556.9,3157.5,2.6,3.9,1.69,0.8,0.75,0.8333,0.0,0.8,,423.4,6.85,0.5835,16.82,0.2067,1.79,0.0073,0.062,0.8763,-0.0056,0.0231,-0.5088,138,random
693,5694912,18065,21,563.7,2888.0,2.8,3.8,1.94,0.5,0.25,0.6667,0.0,0.5,,311.8,5.52,0.5507,16.9,0.1948,1.73,0.0081,0.0591,0.8926,-0.007,0.0215,-0.4823,138,random
694,5703104,18092,27,570.6,2769.3,3.0,4.0,2.05,0.7857,0.6667,0.875,0.0,0.7857,,318.7,6.04,0.547,17.19,0.1923,1.73,0.0076,0.0544,0.8626,-0.0075,0.0242,-0.4919,138,random
695,5711296,18117,25,577.5,2928.6,2.8,3.9,1.89,0.8889,0.8,1.0,0.0,0.8889,,312.3,6.2,0.6109,17.14,0.215,1.84,0.0069,0.062,0.8896,-0.0059,0.0206,-0.5422,138,random
696,5719488,18147,30,584.1,3040.7,2.7,3.8,1.77,0.5333,0.4286,0.625,0.0,0.5333,,355.2,6.63,0.5308,15.38,0.1942,1.7,0.0102,0.0638,0.8502,-0.0073,0.0273,-0.4735,139,random
697,5727680,18165,18,590.5,3279.1,2.5,4.1,1.62,0.7,0.5,1.0,0.0,0.7,,299.7,5.5,0.5153,16.07,0.1856,1.67,0.0079,0.0641,0.9106,-0.0062,0.0137,-0.4799,139,random
698,5735872,18186,21,597.1,3397.1,2.4,3.9,1.52,0.8333,0.7143,1.0,0.0,0.8333,,297.1,6.14,0.5403,16.53,0.1926,1.72,0.0085,0.069,0.9061,-0.0043,0.0151,-0.5001,139,random
699,5744064,18206,20,603.5,3379.6,2.4,4.1,1.53,0.75,0.7143,1.0,0.0,0.75,,385.4,6.5,0.5344,17.68,0.1861,1.71,0.01,0.0601,0.884,-0.0053,0.0174,-0.4711,139,random
700,5752256,18220,14,610.0,3526.0,2.3,3.9,1.45,0.6667,0.6667,0.6667,0.0,0.6667,,431.7,7.14,0.4922,18.06,0.1701,1.64,0.0078,0.0664,0.8949,-0.0059,0.0194,-0.4782,139,random
701,5760448,18246,26,616.5,3215.8,2.5,3.9,1.65,0.75,0.75,0.75,0.0,0.75,,370.3,6.42,0.5119,16.92,0.181,1.67,0.0096,0.0619,0.8679,-0.006,0.0231,-0.4831,140,random
702,5768640,18272,26,623.2,3117.6,2.6,3.9,1.73,0.7,0.8,0.6,0.0,0.7,,391.7,6.08,0.5566,17.42,0.1948,1.74,0.0072,0.0547,0.8859,-0.0053,0.0191,-0.5002,140,random
703,5776832,18292,20,629.9,2961.2,2.8,4.0,1.87,0.875,0.75,1.0,0.0,0.875,,430.0,6.7,0.5197,17.19,0.1827,1.68,0.0065,0.0599,0.9109,-0.0053,0.0158,-0.4843,140,random
704,5785024,18316,24,636.8,2971.6,2.8,3.9,1.85,0.75,0.625,0.875,0.0,0.75,,356.0,7.0,0.5532,17.94,0.1916,1.74,0.0084,0.0688,0.8969,-0.0066,0.0193,-0.4945,140,random
705,5793216,18336,20,643.4,3102.1,2.6,3.9,1.77,0.7857,0.6667,1.0,0.0,0.7857,,291.6,6.05,0.5219,17.53,0.1822,1.69,0.0081,0.0638,0.8915,-0.0062,0.0186,-0.4695,140,random
706,5801408,18361,25,650.1,3123.2,2.6,4.1,1.71,0.7273,0.6,0.8333,0.0,0.7273,,384.6,6.28,0.5386,17.23,0.1892,1.71,0.0084,0.0695,0.8666,-0.0061,0.0248,-0.4887,141,random
707,5809600,18392,31,657.1,2888.9,2.8,3.9,1.91,0.7143,0.8,0.6667,0.0,0.7143,,369.7,6.16,0.5049,16.12,0.1816,1.66,0.0072,0.0486,0.8014,-0.0063,0.0307,-0.4475,141,random
708,5817792,18413,21,663.6,3178.4,2.6,3.8,1.7,0.7692,0.6,0.875,0.0,0.7692,,363.0,6.76,0.4947,16.39,0.1769,1.64,0.0075,0.0521,0.8967,-0.0057,0.015,-0.4556,141,random
