update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
391,3206208,11052,17,1570.6,2440.6,3.4,8.0,2.17,0.8,0.5,1.0,0.0,0.8,,437.5,6.59,0.8747,17.11,0.308,2.4,0.0091,0.0745,0.9063,-0.0072,0.0151,-0.7978,78,random
392,3214400,11081,29,1582.3,2307.2,3.6,8.1,2.36,0.8824,0.8333,1.0,0.0,0.8824,,332.2,5.79,0.845,17.51,0.2952,2.33,0.0089,0.0653,0.9023,-0.0085,0.0158,-0.7641,78,random
393,3222592,11108,27,1594.1,2307.8,3.5,8.0,2.38,0.7647,0.5714,0.9,0.0,0.7647,,387.2,7.07,0.8096,16.76,0.2872,2.25,0.0089,0.0812,0.8883,-0.0083,0.018,-0.7687,78,random
394,3230784,11126,18,1605.9,2251.7,3.6,8.4,2.52,0.625,0.6667,0.6,0.0,0.625,,437.8,7.17,0.8462,16.05,0.3048,2.33,0.0099,0.0768,0.875,-0.0087,0.0143,-0.7289,78,random
395,3238976,11155,29,1617.8,2423.8,3.4,8.4,2.22,0.4,0.2,0.5,0.0,0.4,,334.4,6.31,0.7762,14.9,0.2874,2.17,0.0136,0.0835,0.8252,-0.0063,0.0256,-0.7182,78,random
396,3247168,11169,14,1629.7,2486.1,3.3,8.0,2.05,0.8571,0.5,1.0,0.0,0.8571,,368.5,6.86,0.7898,16.9,0.2794,2.2,0.0088,0.0559,0.8256,-0.0073,0.02,-0.7103,79,random
397,3255360,11193,24,1641.0,2660.0,3.1,8.0,1.94,0.8462,1.0,0.75,0.0,0.8462,,347.9,6.38,0.7757,16.76,0.2752,2.17,0.0081,0.0751,0.8614,-0.0076,0.0197,-0.7003,79,random
398,3263552,11209,16,1652.3,2628.2,3.1,8.0,1.98,0.8571,1.0,0.75,0.0,0.8571,,439.2,7.25,0.8049,16.58,0.2866,2.24,0.0069,0.0757,0.9337,-0.008,0.0095,-0.7274,79,random
399,3271744,11226,17,1663.6,2593.7,3.2,8.1,2.02,1.0,1.0,1.0,0.0,1.0,,402.2,7.18,0.8448,17.52,0.295,2.33,0.0084,0.081,0.9364,-0.011,0.0117,-0.7468,79,random
400,3279936,11243,17,1675.2,2488.2,3.3,8.3,2.06,0.75,0.6667,0.8,0.0,0.75,,421.9,7.06,0.8236,17.68,0.2867,2.28,0.0088,0.0721,0.9256,-0.008,0.0171,-0.7375,79,random
401,3288128,11270,27,1687.0,2425.0,3.4,8.3,2.17,0.625,0.5,1.0,0.0,0.625,,472.3,6.93,0.789,17.0,0.2785,2.2,0.0129,0.0872,0.9099,-0.0061,0.021,-0.7326,80,random
402,3296320,11297,27,1699.3,2162.7,3.8,8.3,2.62,0.8,0.7143,0.875,0.0,0.8,,369.3,6.56,0.7868,16.66,0.2797,2.2,0.0089,0.0725,0.9164,-0.0071,0.0154,-0.7097,80,random
403,3304512,11314,17,1711.4,2237.5,3.7,8.2,2.46,0.6923,0.6667,0.7143,0.0,0.6923,,275.9,5.71,0.7553,16.7,0.2683,2.13,0.0115,0.0648,0.9098,-0.0066,0.015,-0.6915,80,random
404,3312704,11340,26,1723.3,2288.0,3.6,8.3,2.42,0.9286,1.0,0.8571,0.0,0.9286,,420.9,7.42,0.7946,17.35,0.2785,2.21,0.0082,0.0665,0.9122,-0.0082,0.0182,-0.7111,80,random
405,3320896,11362,22,1735.3,2349.3,3.5,8.3,2.33,0.8824,0.7778,1.0,0.0,0.8824,,282.7,6.05,0.8052,17.43,0.2817,2.24,0.0079,0.0686,0.9546,-0.0086,0.0095,-0.7265,80,random
406,3329088,11379,17,1747.3,2324.4,3.5,8.3,2.35,0.9,0.8571,1.0,0.0,0.9,,383.6,7.0,0.8272,17.07,0.2915,2.29,0.0101,0.0824,0.9055,-0.007,0.0176,-0.7439,81,random
407,3337280,11403,24,1759.3,2354.6,3.5,8.3,2.32,0.7273,0.6667,0.8,0.0,0.7273,,393.4,6.62,0.8258,16.98,0.2916,2.28,0.0083,0.0704,0.9199,-0.0083,0.0162,-0.7377,81,random
408,3345472,11419,16,1771.2,2408.8,3.4,8.4,2.24,0.625,0.6,0.6667,0.0,0.625,,403.2,7.12,0.7908,16.5,0.2821,2.21,0.0094,0.0765,0.844,-0.0075,0.0276,-0.7238,81,random
