update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
298,2441280,9349,20,1097.0,2810.6,2.9,7.9,1.81,0.6667,0.6667,0.6667,0.0,0.6667,,338.2,5.55,8.17,0.8065,13.93,0.3062,2.24,0.0089,0.067,0.8541,-0.0074,0.021,-0.6643,59,random,,,,,,
299,2449472,9378,29,1108.0,2717.0,3.0,7.9,1.86,0.7143,0.6667,0.8,0.0,0.7143,,318.4,6.17,3.21,0.7505,13.79,0.286,2.12,0.011,0.0845,0.8643,-0.007,0.0205,-0.678,59,random,,,,,,
300,2457664,9404,26,1118.9,3007.8,2.7,7.9,1.61,0.8,0.8,0.8,0.0,0.8,,266.2,5.62,7.07,0.7367,13.54,0.2828,2.09,0.0105,0.0751,0.7723,-0.008,0.025,-0.6679,59,random,,,,,,
301,2465856,9427,23,1129.6,3080.8,2.7,8.0,1.57,0.75,0.6667,0.8,0.0,0.75,,329.6,5.65,3.12,0.7215,13.14,0.2801,2.06,0.0105,0.0874,0.8052,-0.0086,0.0239,-0.6334,60,random,,,,,,
302,2474048,9455,28,1140.3,3140.2,2.6,7.9,1.51,0.5,0.5714,0.3333,0.0,0.5,,302.4,5.32,-2.0,0.6875,13.07,0.2675,1.99,0.0102,0.0793,0.7388,-0.0084,0.0318,-0.6385,60,random,,,,,,
303,2482240,9484,29,1151.2,2909.3,2.8,8.0,1.7,0.8,1.0,0.7143,0.0,0.8,,329.8,5.76,6.8,0.7347,13.55,0.2819,2.08,0.0094,0.0877,0.7438,-0.0089,0.0326,-0.6524,60,random,,,,,,
304,2490432,9510,26,1162.3,2768.1,3.0,9.5,1.88,0.9167,0.875,1.0,0.0,0.9167,,285.9,5.38,3.08,0.7395,12.79,0.2902,2.09,0.0091,0.0776,0.8359,-0.0064,0.0227,-0.6574,60,random,1019,200,0.6275,0.48,0.775,1.4
305,2498624,9530,20,1176.3,2780.2,2.9,8.0,1.84,0.8,1.0,0.7143,0.0,0.8,,299.3,5.65,9.6,0.7205,13.09,0.2801,2.06,0.01,0.0891,0.8682,-0.0082,0.0195,-0.654,60,random,,,,,,
306,2506816,9560,30,1187.4,2729.3,3.0,7.9,1.87,0.6154,0.6667,0.5714,0.0,0.6154,,330.4,5.7,-0.85,0.7525,13.76,0.287,2.12,0.0095,0.0724,0.7689,-0.0077,0.0308,-0.651,61,random,,,,,,
307,2515008,9590,30,1198.6,2635.7,3.1,8.0,1.99,0.75,0.6667,0.8,0.0,0.75,,296.2,5.77,5.62,0.7067,12.6,0.2789,2.03,0.0087,0.066,0.7701,-0.0083,0.0304,-0.639,61,random,,,,,,
308,2523200,9619,29,1209.7,2728.1,3.0,7.9,1.84,1.0,1.0,1.0,0.0,1.0,,304.5,5.9,7.93,0.7291,13.87,0.2773,2.07,0.0073,0.0604,0.7211,-0.0082,0.0328,-0.65,61,random,,,,,,
309,2531392,9649,30,1220.7,2803.8,2.9,7.8,1.83,0.6667,0.7,0.5,0.0,0.6667,,301.7,5.5,2.5,0.6828,12.58,0.2697,1.98,0.0111,0.0755,0.7512,-0.0075,0.0338,-0.6192,61,random,,,,,,
