update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
99,811008,3353,30,1018.3,1575.6,5.2,4.0,0.7273,0.5,0.8571,0.0,0.7273,,249.6,5.67,1.2069,8.81,0.5547,3.34,0.007,0.0697,0.8042,-0.0053,0.0342,-1.096,19,random
100,819200,3377,24,1028.0,1450.6,5.6,4.0,0.7857,0.5,0.9,0.0,0.7857,,206.5,5.58,1.1505,8.06,0.5514,3.16,0.0082,0.0656,0.8619,-0.0058,0.0246,-1.0753,19,random
101,827392,3418,41,1038.1,1361.1,6.0,4.0,0.8,0.6,0.8667,0.0,0.8,,269.8,6.05,1.2153,9.29,0.5453,3.37,0.0063,0.0703,0.7874,-0.0065,0.0434,-1.1029,20,random
102,835584,3453,35,1049.0,1210.6,6.8,4.3,0.8421,0.75,1.0,0.0,0.8421,,256.9,6.34,1.1836,8.87,0.5423,3.27,0.0077,0.07,0.7891,-0.0058,0.0343,-1.0951,20,random
103,843776,3484,31,1059.4,1352.5,6.1,4.5,0.75,0.5,1.0,0.0,0.75,,276.1,6.68,1.2273,9.83,0.5371,3.41,0.0065,0.0624,0.7919,-0.006,0.0303,-1.1188,20,random
104,851968,3521,37,1070.5,1267.7,6.5,4.8,0.65,0.7273,0.5556,0.0,0.65,,230.6,6.11,1.2577,10.07,0.5446,3.52,0.0055,0.06,0.7305,-0.0071,0.0401,-1.1553,20,random
105,860160,3560,39,1081.2,1404.9,5.8,5.1,0.5714,0.5,0.6667,0.0,0.5714,,252.9,6.21,1.2711,10.13,0.5489,3.56,0.0071,0.0663,0.7261,-0.007,0.0383,-1.1296,20,random
106,868352,3598,38,1091.8,1524.1,5.4,5.2,0.7826,0.8333,0.7273,0.0,0.7826,,201.1,5.21,1.2782,9.98,0.5556,3.59,0.0058,0.0573,0.7745,-0.0071,0.0383,-1.1511,21,random
107,876544,3627,29,1102.0,1695.4,4.8,5.2,0.8947,0.9,0.8889,0.0,0.8947,,222.0,5.9,1.2512,10.46,0.5331,3.49,0.0065,0.064,0.796,-0.0069,0.0318,-1.1463,21,random
108,884736,3657,30,1111.8,1834.8,4.5,5.3,0.7895,0.9,0.6667,0.0526,0.7895,,211.9,5.6,1.2044,9.48,0.5354,3.33,0.0062,0.0561,0.8327,-0.0067,0.027,-1.1288,21,random
109,892928,3692,35,1121.8,1769.5,4.6,5.3,0.7895,0.7,0.8889,0.0,0.7895,,227.4,5.43,1.2334,10.07,0.534,3.43,0.0064,0.0665,0.8342,-0.0078,0.0286,-1.1028,21,random
110,901120,3724,32,1131.7,1849.9,4.4,5.1,0.8,0.625,1.0,0.0,0.8,,261.3,5.78,1.2083,9.68,0.5322,3.35,0.0067,0.0666,0.8172,-0.0079,0.0286,-1.0839,21,random
111,909312,3760,36,1141.9,1629.1,5.0,5.1,0.8571,0.8,1.0,0.0,0.8571,,268.2,5.72,1.1901,9.81,0.5211,3.29,0.0079,0.0597,0.7844,-0.0066,0.0347,-1.1036,22,random
112,917504,3793,33,1151.7,1794.4,4.6,4.7,0.7222,0.6364,0.8571,0.0,0.7222,,241.2,5.82,1.1985,9.82,0.5248,3.32,0.0069,0.0604,0.8179,-0.0072,0.0279,-1.1058,22,random
113,925696,3814,21,1161.0,1796.6,4.6,4.5,0.8182,0.6667,1.0,0.0,0.8182,,248.8,6.0,1.2494,10.75,0.5261,3.49,0.0068,0.0572,0.8387,-0.0075,0.024,-1.1067,22,random
114,933888,3839,25,1170.3,1732.3,4.7,4.2,0.7778,0.6,1.0,0.0,0.7778,,349.2,7.6,1.2282,10.63,0.5197,3.41,0.0095,0.0656,0.8275,-0.0063,0.0263,-1.113,22,random
115,942080,3861,22,1179.7,1614.6,5.1,4.1,0.6667,0.6667,0.6667,0.0,0.6667,,305.8,7.0,1.1761,10.69,0.4964,3.24,0.0091,0.0849,0.778,-0.0068,0.0315,-1.0787,22,random
116,950272,3883,22,1188.9,1632.3,5.0,4.6,1.0,1.0,1.0,0.0,1.0,,382.3,7.5,1.1391,10.29,0.4886,3.12,0.0082,0.0785,0.823,-0.0059,0.0242,-1.0702,23,random
117,958464,3908,25,1198.6,1614.1,5.1,4.8,0.6364,0.8,0.5,0.0,0.6364,,336.4,7.4,1.1913,10.77,0.5012,3.29,0.0065,0.0786,0.7915,-0.0061,0.032,-1.0829,23,random
118,966656,3940,32,1209.1,1471.7,5.6,4.7,0.8333,0.8571,0.8182,0.0,0.8333,,297.7,7.16,1.1812,10.56,0.501,3.26,0.0063,0.0654,0.8447,-0.0076,0.0256,-1.0779,23,random
119,974848,3966,26,1218.6,1772.6,4.6,5.0,0.6923,0.5,1.0,0.0,0.6923,,355.7,7.77,1.1617,10.11,0.5021,3.2,0.007,0.0699,0.8696,-0.0063,0.0193,-1.0598,23,random
120,983040,3990,24,1228.2,1801.6,4.5,5.1,0.7143,0.5714,0.8571,0.0,0.7143,,293.1,7.25,1.1334,10.13,0.4895,3.11,0.0077,0.0778,0.8624,-0.0075,0.0204,-1.07,23,random
121,991232,4008,18,1238.0,1811.8,4.5,5.1,0.75,0.6667,0.8,0.0,0.75,,350.8,7.28,1.1334,10.04,0.4913,3.11,0.0077,0.0677,0.8667,-0.0058,0.0222,-1.0297,24,random
122,999424,4041,33,1248.5,1548.0,5.3,5.1,0.6667,0.6,0.8,0.0,0.6667,,351.9,7.79,1.1044,9.72,0.4857,3.02,0.0055,0.0596,0.8866,-0.007,0.0211,-1.0357,24,random
123,1007616,4068,27,1259.0,1547.3,5.3,5.0,0.7333,0.7,0.8,0.0667,0.7333,,299.0,7.15,1.1258,9.72,0.495,3.08,0.0079,0.0674,0.8536,-0.0075,0.0234,-1.0255,24,random
124,1015808,4090,22,1268.9,1723.9,4.8,5.1,0.5,0.375,1.0,0.1,0.5,,340.1,8.14,1.0792,9.56,0.478,2.94,0.0072,0.0661,0.8673,-0.0066,0.0213,-1.0179,24,random
125,1024000,4123,33,1278.5,1847.0,4.4,5.2,0.8571,0.8,0.8889,0.0,0.8571,,290.4,6.85,1.1287,10.04,0.4893,3.09,0.0102,0.0812,0.7786,-0.0065,0.033,-1.0336,24,random
126,1032192,4139,16,1288.4,1767.0,4.6,4.8,0.6667,0.5,1.0,0.0,0.6667,,267.9,6.19,1.0941,9.59,0.484,2.99,0.0066,0.0572,0.8831,-0.0066,0.0199,-1.0183,25,random
127,1040384,4174,35,1298.1,1701.1,4.8,4.6,0.7333,0.75,0.7143,0.0667,0.7333,,354.9,8.09,1.1643,10.86,0.4881,3.2,0.0061,0.0732,0.7728,-0.0073,0.0369,-1.0581,25,random
128,1048576,4201,27,1307.9,1588.5,5.2,4.3,0.8,0.7143,0.875,0.0,0.8,,254.1,6.15,1.0958,9.87,0.4787,2.99,0.0067,0.0631,0.7869,-0.0055,0.0294,-1.0008,25,random
129,1056768,4234,33,1317.7,1484.6,5.5,4.0,0.6875,0.5,0.8,0.0,0.6875,,289.4,6.82,1.1027,9.8,0.483,3.01,0.012,0.0869,0.8158,-0.0066,0.0295,-0.9962,25,random
