update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
251,2056192,7581,22,2511.8,2089.5,3.9,3.9,0.75,0.5,1.0,0.0,0.75,,343.5,6.86,0.7669,13.79,0.2923,2.15,0.0084,0.0721,0.8141,-0.0068,0.0193,-0.6818,50,random
252,2064384,7599,18,2519.6,2171.4,3.8,3.9,0.8,0.6667,1.0,0.0,0.8,,365.4,6.5,0.7925,12.48,0.3139,2.21,0.0075,0.0725,0.8752,-0.0068,0.0169,-0.7089,50,random
253,2072576,7618,19,2527.6,2030.2,4.0,3.9,0.875,0.8571,1.0,0.0,0.875,,389.3,7.26,0.7762,14.23,0.2923,2.17,0.0056,0.0587,0.8833,-0.0067,0.0168,-0.6924,50,random
254,2080768,7644,26,2535.9,1885.2,4.3,3.9,0.8889,1.0,0.8333,0.0,0.8889,,394.9,7.15,0.7478,13.03,0.2913,2.11,0.0078,0.0823,0.826,-0.0065,0.0239,-0.6793,50,random
255,2088960,7668,24,2544.2,1882.2,4.4,3.9,0.8462,0.6667,0.9,0.0,0.8462,,360.5,7.25,0.7419,12.83,0.2908,2.1,0.0064,0.063,0.7259,-0.0063,0.0271,-0.6882,50,random
256,2097152,7694,26,2552.2,2042.5,4.0,3.9,0.8125,1.0,0.5,0.0625,0.8125,,298.9,5.92,0.7124,13.53,0.2735,2.04,0.0084,0.0749,0.79,-0.0066,0.0221,-0.673,51,random
257,2105344,7709,15,2559.8,2224.5,3.7,3.9,1.0,1.0,1.0,0.0,1.0,,347.5,6.93,0.7432,13.32,0.287,2.1,0.008,0.0829,0.8808,-0.0053,0.013,-0.6707,51,random
258,2113536,7734,25,2568.0,1962.2,4.2,3.9,0.6364,0.6667,0.6,0.0,0.6364,,364.6,6.72,0.7566,13.82,0.2881,2.13,0.0092,0.0663,0.8275,-0.0067,0.0233,-0.677,51,random
259,2121728,7763,29,2576.8,1690.2,4.8,3.9,0.7333,0.8333,0.6667,0.0,0.7333,,379.4,6.86,0.7564,13.77,0.2884,2.13,0.0092,0.0699,0.816,-0.0059,0.023,-0.6856,51,random
260,2129920,7780,17,2585.1,1892.2,4.3,3.9,0.5,0.5,0.5,0.0,0.5,,336.0,6.47,0.7369,13.67,0.2818,2.09,0.0074,0.0813,0.8485,-0.0051,0.0201,-0.6953,51,random
261,2138112,7809,29,2593.7,1796.4,4.6,3.8,0.7857,1.0,0.625,0.0,0.7857,,386.8,7.14,0.7307,13.41,0.2815,2.08,0.0067,0.061,0.8232,-0.0063,0.0224,-0.6654,52,random
262,2146304,7833,24,2602.1,1813.1,4.5,3.9,0.6429,0.5,0.8333,0.0,0.6429,,315.3,6.38,0.7528,13.62,0.2883,2.12,0.008,0.0795,0.8025,-0.0066,0.0194,-0.64,52,random
263,2154496,7859,26,2610.3,1955.3,4.2,3.9,0.6429,0.6667,0.625,0.0,0.6429,,289.2,6.04,0.6991,13.53,0.2683,2.01,0.0086,0.0815,0.7848,-0.0088,0.0277,-0.6368,52,random
264,2162688,7880,21,2619.0,1716.0,4.8,3.9,0.875,1.0,0.75,0.0,0.875,,381.8,6.67,0.708,13.31,0.2735,2.03,0.0067,0.0655,0.7277,-0.0065,0.0269,-0.6352,52,random
265,2170880,7913,33,2628.4,1502.3,5.5,3.9,0.7368,0.8,0.6667,0.0526,0.7368,,319.3,6.52,0.7331,13.26,0.2836,2.08,0.0079,0.0641,0.8132,-0.007,0.0254,-0.6525,52,random
266,2179072,7941,28,2637.3,1650.7,5.0,3.9,0.75,0.8333,0.625,0.0,0.75,,273.2,6.0,0.6931,12.77,0.2721,2.0,0.0086,0.0788,0.7613,-0.0063,0.0309,-0.6236,53,random
267,2187264,7966,25,2646.0,1747.0,4.7,3.9,0.6,0.75,0.5,0.0,0.6,,344.3,6.36,0.6744,12.93,0.2635,1.96,0.0094,0.0709,0.7939,-0.0054,0.026,-0.6046,53,random
268,2195456,7993,27,2654.3,1903.9,4.3,3.9,0.8125,0.8333,0.8,0.0,0.8125,,273.4,6.19,0.6606,12.67,0.2602,1.94,0.0072,0.0624,0.7219,-0.0054,0.0296,-0.5964,53,random
