update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
102,835584,3762,35,1079.8,2473.9,3.3,7.5,2.07,0.7273,0.7143,0.75,0.0,0.7273,,210.8,5.94,6.18,1.1989,9.13,0.5421,3.32,0.0096,0.0936,0.7124,-0.0086,0.0305,-1.1043,20,random
103,843776,3795,33,1090.3,2842.7,2.9,7.6,1.65,0.8571,1.0,0.6667,0.0,0.8571,,235.1,5.64,7.07,1.2169,9.68,0.536,3.38,0.0086,0.0839,0.7008,-0.006,0.0322,-1.1691,20,random
104,851968,3828,33,1101.3,2555.6,3.2,7.6,2.01,0.8235,0.875,0.7778,0.0,0.8235,,277.0,6.21,8.35,1.2579,10.15,0.5427,3.52,0.0087,0.0761,0.7051,-0.0079,0.0322,-1.1509,20,random
105,860160,3857,29,1112.1,2716.1,3.0,7.5,1.84,0.5882,0.6,0.5714,0.0,0.5882,,235.8,5.86,5.65,1.226,10.74,0.5163,3.41,0.0111,0.0827,0.7143,-0.0074,0.0308,-1.1338,20,random
106,868352,3886,29,1122.7,2763.7,3.0,7.5,1.77,0.5,0.375,0.75,0.0,0.5,,289.4,5.97,7.33,1.2041,10.32,0.5158,3.33,0.0089,0.0749,0.6064,-0.0082,0.035,-1.1037,21,random
107,876544,3920,34,1133.3,2807.5,2.9,7.7,1.72,0.7692,0.6,0.875,0.0,0.7692,,257.7,5.74,8.92,1.1992,10.12,0.5181,3.32,0.0087,0.0768,0.6725,-0.0098,0.0319,-1.133,21,random
108,884736,3949,29,1144.4,2498.3,3.3,7.5,2.1,0.7647,0.7778,0.75,0.0,0.7647,,241.1,6.07,10.65,1.1708,9.42,0.522,3.22,0.0096,0.084,0.7169,-0.0086,0.0275,-1.1017,21,random
109,892928,3983,34,1155.4,2446.1,3.3,7.5,2.13,0.9231,0.875,1.0,0.0,0.9231,,270.4,5.71,10.85,1.2361,10.68,0.5219,3.44,0.008,0.0822,0.7258,-0.0077,0.0356,-1.1436,21,random
110,901120,4017,34,1166.5,2306.7,3.6,7.5,2.32,0.9444,0.8571,1.0,0.0,0.9444,,226.9,5.65,7.89,1.1948,9.82,0.5231,3.3,0.0085,0.0655,0.7478,-0.0089,0.0349,-1.1175,21,random
111,909312,4063,46,1177.4,2510.3,3.3,7.6,2.0,0.7083,0.6364,0.7692,0.0,0.7083,,222.1,5.24,5.83,1.2154,10.35,0.52,3.37,0.0075,0.0711,0.7188,-0.0088,0.0375,-1.1023,22,random
112,917504,4101,38,1188.3,2533.1,3.2,7.4,2.05,0.7143,0.6364,1.0,0.0,0.7143,,252.3,5.71,2.21,1.1388,9.16,0.5142,3.12,0.0109,0.0834,0.6135,-0.0069,0.0413,-1.0645,22,random
113,925696,4144,43,1199.2,2478.2,3.3,7.4,2.13,0.76,0.6667,0.8462,0.0,0.76,,162.0,4.51,5.96,1.1771,9.94,0.5126,3.24,0.0079,0.0871,0.7144,-0.0068,0.0417,-1.0931,22,random
114,933888,4179,35,1209.9,2697.3,3.0,7.7,1.79,0.9286,0.8571,1.0,0.0,0.9286,,214.0,4.89,9.43,1.1164,9.31,0.5005,3.05,0.0081,0.0865,0.7042,-0.0074,0.0339,-1.054,22,random
115,942080,4217,38,1221.0,2529.1,3.2,7.6,2.01,0.7059,0.5455,1.0,0.0,0.7059,,229.1,5.45,7.53,1.1548,10.45,0.492,3.17,0.0107,0.0915,0.7629,-0.0057,0.0357,-1.0494,22,random
116,950272,4257,40,1232.2,2371.6,3.5,7.4,2.2,0.6471,0.5714,0.7,0.0,0.6471,,245.3,5.62,4.88,1.1166,9.11,0.5053,3.05,0.0069,0.0778,0.5776,-0.0082,0.051,-1.0693,23,random
117,958464,4283,26,1242.9,2558.3,3.2,7.7,1.94,0.7222,0.9091,0.4286,0.0,0.7222,,202.5,5.54,7.28,1.1753,10.37,0.5024,3.24,0.0111,0.093,0.6911,-0.0081,0.0311,-1.0868,23,random
118,966656,4314,31,1254.1,2473.5,3.3,7.5,2.07,0.6667,0.4286,1.0,0.0,0.6667,,252.5,5.87,0.58,1.1526,9.74,0.5063,3.17,0.0088,0.0754,0.7514,-0.0088,0.0297,-1.0528,23,random
119,974848,4342,28,1264.6,2827.8,2.9,7.6,1.68,0.8462,1.0,0.7778,0.0,0.8462,,259.9,6.21,14.46,1.1586,10.24,0.4981,3.19,0.009,0.0733,0.7498,-0.0093,0.0326,-1.0881,23,random
120,983040,4389,47,1275.4,2752.5,3.0,7.4,1.82,0.5714,0.6667,0.5,0.0,0.5714,,218.2,5.11,2.76,1.1474,9.68,0.5054,3.15,0.007,0.0621,0.6769,-0.0081,0.0501,-1.0583,23,random
121,991232,4424,35,1286.0,2685.1,3.1,7.4,1.89,0.7778,0.75,0.8,0.0,0.7778,,220.6,4.97,7.11,1.1692,10.22,0.5031,3.22,0.0095,0.0774,0.7157,-0.0076,0.0371,-1.0958,24,random
122,999424,4467,43,1296.6,2695.9,3.0,7.5,1.85,0.75,0.8571,0.6,0.0,0.75,,219.3,5.02,7.25,1.1668,10.21,0.5021,3.21,0.0128,0.0967,0.7096,-0.0079,0.0459,-1.0809,24,random
123,1007616,4503,36,1307.0,2919.1,2.8,7.4,1.67,0.7692,0.75,0.8,0.0,0.7692,,224.4,4.94,7.54,1.169,10.49,0.4974,3.22,0.0115,0.0956,0.7091,-0.0082,0.0358,-1.076,24,random
124,1015808,4534,31,1317.7,2539.3,3.2,7.5,2.08,0.8125,0.75,0.875,0.0,0.8125,,226.2,5.61,7.06,1.1913,11.1,0.495,3.29,0.0097,0.0734,0.7608,-0.0082,0.0306,-1.0987,24,random
125,1024000,4569,35,1328.6,2505.0,3.3,7.5,2.1,0.7826,0.7857,0.7778,0.0,0.7826,,232.5,5.91,7.87,1.1734,11.29,0.4841,3.23,0.0103,0.0833,0.6964,-0.009,0.0382,-1.0752,24,random
126,1032192,4613,44,1339.3,2665.0,3.1,7.3,1.91,0.6667,0.5,0.875,0.0,0.6667,,206.0,4.86,4.17,1.1397,9.9,0.4971,3.13,0.0074,0.0715,0.5995,-0.0098,0.0472,-1.0475,25,random
127,1040384,4644,31,1349.6,2933.5,2.8,7.3,1.7,0.9444,1.0,0.9091,0.0,0.9444,,269.5,6.06,7.61,1.1834,10.58,0.5017,3.27,0.0094,0.0921,0.7349,-0.0073,0.032,-1.0819,25,random
128,1048576,4669,25,1359.7,3090.3,2.7,7.4,1.53,0.9231,0.8571,1.0,0.0,0.9231,,194.7,4.8,7.38,1.1455,10.37,0.4897,3.14,0.0093,0.0717,0.746,-0.0093,0.023,-1.0583,25,random
